Provenance;Terms involved;Ontology;Requirement description;Result
Open Connectivity Foundation (OCF);["Entity"];https://www.w3.org/ns/ssn/;Entity exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Device"];https://www.w3.org/ns/ssn/;Device exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Transportation"];https://www.w3.org/ns/ssn/;Transportation exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Electronics"];https://www.w3.org/ns/ssn/;Electronics exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Resource"];https://www.w3.org/ns/ssn/;Resource exists in the ontology;undefined
Open Connectivity Foundation (OCF);["CommunicationProtocol"];https://www.w3.org/ns/ssn/;CommunicationProtocol exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Maintenance"];https://www.w3.org/ns/ssn/;Maintenance exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Aspect"];https://www.w3.org/ns/ssn/;Aspect exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Security"];https://www.w3.org/ns/ssn/;Security exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Role"];https://www.w3.org/ns/ssn/;Role exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Endpoint"];https://www.w3.org/ns/ssn/;Endpoint exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Functionality"];https://www.w3.org/ns/ssn/;Functionality exists in the ontology;undefined
Open Connectivity Foundation (OCF);["State"];https://www.w3.org/ns/ssn/;State exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Lighting"];https://www.w3.org/ns/ssn/;Lighting exists in the ontology;undefined
Open Connectivity Foundation (OCF);["SpaceConditioning"];https://www.w3.org/ns/ssn/;SpaceConditioning exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Medica"];https://www.w3.org/ns/ssn/;Medica exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Infrastructure"];https://www.w3.org/ns/ssn/;Infrastructure exists in the ontology;undefined
Open Connectivity Foundation (OCF);["PersonalHealth"];https://www.w3.org/ns/ssn/;PersonalHealth exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Property"];https://www.w3.org/ns/ssn/;Property exists in the ontology;passed
Open Connectivity Foundation (OCF);["Link"];https://www.w3.org/ns/ssn/;Link exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Fitness"];https://www.w3.org/ns/ssn/;Fitness exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["serialNumber","Property"]';https://www.w3.org/ns/ssn/;serialNumber exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["address","Property"]';https://www.w3.org/ns/ssn/;address exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["encapsulates","Property"]';https://www.w3.org/ns/ssn/;encapsulates exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["isProvidedOverProtocol","Property"]';https://www.w3.org/ns/ssn/;isProvidedOverProtocol exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["describesAspect","Property"]';https://www.w3.org/ns/ssn/;describesAspect exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["hosts","Property"]';https://www.w3.org/ns/ssn/;hosts exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["hasDevelopers","Property"]';https://www.w3.org/ns/ssn/;hasDevelopers exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["consistsOf","Property"]';https://www.w3.org/ns/ssn/;consistsOf exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["communicatesWith","Property"]';https://www.w3.org/ns/ssn/;communicatesWith exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["deviceName","Property"]';https://www.w3.org/ns/ssn/;deviceName exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["hasProperty","Property"]';https://www.w3.org/ns/ssn/;hasProperty exists in the ontology;undefined
