Provenance;Terms involved;Ontology;Requirement description;Result
Open Connectivity Foundation (OCF);["Entity"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Entity exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Device"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Device exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Transportation"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Transportation exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Electronics"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Electronics exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Resource"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Resource exists in the ontology;undefined
Open Connectivity Foundation (OCF);["CommunicationProtocol"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;CommunicationProtocol exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Maintenance"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Maintenance exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Aspect"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Aspect exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Security"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Security exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Role"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Role exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Endpoint"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Endpoint exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Functionality"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Functionality exists in the ontology;undefined
Open Connectivity Foundation (OCF);["State"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;State exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Lighting"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Lighting exists in the ontology;undefined
Open Connectivity Foundation (OCF);["SpaceConditioning"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;SpaceConditioning exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Medica"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Medica exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Infrastructure"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Infrastructure exists in the ontology;undefined
Open Connectivity Foundation (OCF);["PersonalHealth"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;PersonalHealth exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Property"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Property exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Link"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Link exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Fitness"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Fitness exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["serialNumber","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;serialNumber exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["address","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;address exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["encapsulates","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;encapsulates exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["isProvidedOverProtocol","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;isProvidedOverProtocol exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["describesAspect","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;describesAspect exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["hosts","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hosts exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["hasDevelopers","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasDevelopers exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["consistsOf","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;consistsOf exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["communicatesWith","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;communicatesWith exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["deviceName","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;deviceName exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["hasProperty","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasProperty exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["makesAccessible","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;makesAccessible exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["implementsSecurity","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;implementsSecurity exists in the ontology;undefined
