Term;Key
Vocabulary;http://purl.org/vocommons/voaf#Vocabulary
Platform;http://www.w3.org/ns/sosa/Platform
ActuatableProperty;http://www.w3.org/ns/sosa/ActuatableProperty
Deployment;http://www.w3.org/ns/ssn/Deployment
phenomenonTime;http://www.w3.org/ns/sosa/phenomenonTime
madeSampling;http://www.w3.org/ns/sosa/madeSampling
Result;http://www.w3.org/ns/sosa/Result
observes;http://www.w3.org/ns/sosa/observes
Input;http://www.w3.org/ns/ssn/Input
isSampleOf;http://www.w3.org/ns/sosa/isSampleOf
ObservableProperty;http://www.w3.org/ns/sosa/ObservableProperty
Procedure;http://www.w3.org/ns/sosa/Procedure
madeBySensor;http://www.w3.org/ns/sosa/madeBySensor
hasSubSystem;http://www.w3.org/ns/ssn/hasSubSystem
Sampling;http://www.w3.org/ns/sosa/Sampling
isHostedBy;http://www.w3.org/ns/sosa/isHostedBy
Thing;http://www.w3.org/2002/07/owl#Thing
implementedBy;http://www.w3.org/ns/ssn/implementedBy
Agent;http://xmlns.com/foaf/0.1/Agent
isObservedBy;http://www.w3.org/ns/sosa/isObservedBy
madeByActuator;http://www.w3.org/ns/sosa/madeByActuator
forProperty;http://www.w3.org/ns/ssn/forProperty
hosts;http://www.w3.org/ns/sosa/hosts
isResultOf;http://www.w3.org/ns/sosa/isResultOf
hasProperty;http://www.w3.org/ns/ssn/hasProperty
wasOriginatedBy;http://www.w3.org/ns/ssn/wasOriginatedBy
FeatureOfInterest;http://www.w3.org/ns/sosa/FeatureOfInterest
Sampler;http://www.w3.org/ns/sosa/Sampler
Observation;http://www.w3.org/ns/sosa/Observation
madeObservation;http://www.w3.org/ns/sosa/madeObservation
hasOutput;http://www.w3.org/ns/ssn/hasOutput
isProxyFor;http://www.w3.org/ns/ssn/isProxyFor
Sensor;http://www.w3.org/ns/sosa/Sensor
implements;http://www.w3.org/ns/ssn/implements
inDeployment;http://www.w3.org/ns/ssn/inDeployment
hasFeatureOfInterest;http://www.w3.org/ns/sosa/hasFeatureOfInterest
madeBySampler;http://www.w3.org/ns/sosa/madeBySampler
deployedOnPlatform;http://www.w3.org/ns/ssn/deployedOnPlatform
observedProperty;http://www.w3.org/ns/sosa/observedProperty
hasDeployment;http://www.w3.org/ns/ssn/hasDeployment
System;http://www.w3.org/ns/ssn/System
isActedOnBy;http://www.w3.org/ns/sosa/isActedOnBy
usedProcedure;http://www.w3.org/ns/sosa/usedProcedure
Output;http://www.w3.org/ns/ssn/Output
hasSample;http://www.w3.org/ns/sosa/hasSample
Property;http://www.w3.org/ns/ssn/Property
Actuator;http://www.w3.org/ns/sosa/Actuator
resultTime;http://www.w3.org/ns/sosa/resultTime
Stimulus;http://www.w3.org/ns/ssn/Stimulus
Sample;http://www.w3.org/ns/sosa/Sample
Actuation;http://www.w3.org/ns/sosa/Actuation
hasResult;http://www.w3.org/ns/sosa/hasResult
detects;http://www.w3.org/ns/ssn/detects
deployedSystem;http://www.w3.org/ns/ssn/deployedSystem
isPropertyOf;http://www.w3.org/ns/ssn/isPropertyOf
madeActuation;http://www.w3.org/ns/sosa/madeActuation
hasInput;http://www.w3.org/ns/ssn/hasInput
actsOnProperty;http://www.w3.org/ns/sosa/actsOnProperty
