Provenance;Terms involved;Ontology;Result
ISO/IEC 30141:2017;'["DigitalUser","interactsUsing","Service"]';ISO/IEC 30141:2017;passed
ISO/IEC 30141:2017;'["Application","Service"]';ISO/IEC 30141:2017;passed
ISO/IEC 30141:2017;'["HumanUser","interactsUsing","Application"]';ISO/IEC 30141:2017;passed
ISO/IEC 30141:2017;'["Service","uses","DataStore","Gateway","Device"]';ISO/IEC 30141:2017;passed
ISO/IEC 30141:2017;'["PhysicalThing","Thing","VirtualThing"]';ISO/IEC 30141:2017;passed
http://www.w3.org/ns/ssn;'["Procedure","hasOutput","Output"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Sampling","hasResult","Result"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Actuation","hasResult","Result"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Sample","FeatureOfInterest","Result"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Deployment","forProperty","Property"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;["Sensor"];ISO/IEC 30141:2017;passed
http://www.w3.org/ns/ssn;["Actuator"];ISO/IEC 30141:2017;passed
http://www.w3.org/ns/ssn;["Procedure"];ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;["Deployment"];ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Platform","inDeployment","Deployment"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Platform","deployedSystem","System"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;["System"];ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Sampling","hasResult","Sample"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Sensor","observes","ObservableProperty"]';ISO/IEC 30141:2017;absent
http://www.w3.org/ns/ssn;'["ObservableProperty","Property"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["ObservableProperty","isObservedBy","Sensor"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Observation","hasFeatureOfInterest","FeatureOfInterest"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Observation","wasOriginatedBy","Stimulus"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Observation","hasResult","Result"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Sensor","System"]';ISO/IEC 30141:2017;absent
http://www.w3.org/ns/ssn;["FeatureOfInterest"];ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["System","implements","Procedure"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["System","hasSubSystem"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Procedure","hasInput","Input"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;["Sensor"];ISO/IEC 30141:2017;passed
http://www.w3.org/ns/ssn;'["Sensor","detects","Stimulus"]';ISO/IEC 30141:2017;absent
http://www.w3.org/ns/ssn;["Stimulus"];ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Observation","wasOriginatedBy","Stimulus"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;["Property"];ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Stimulus","isProxyFor","Property","isPropertyOf","FeatureOfInterest"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Actuator","madeActuation","Actuation"]';ISO/IEC 30141:2017;absent
http://www.w3.org/ns/ssn;'["Procedure","implementedBy","System"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Deployment","deployedOnPlatform","Platform"]';ISO/IEC 30141:2017;undefined
http://www.w3.org/ns/ssn;'["Sampling","hasFeatureOfInterest","FeatureOfInterest"]';ISO/IEC 30141:2017;undefined
