Provenance;Terms involved;Ontology;Requirement description;Result
Open Connectivity Foundation (OCF);["Entity"];https://ontology.tno.nl/saref.ttl;Entity exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Device"];https://ontology.tno.nl/saref.ttl;Device exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Transportation"];https://ontology.tno.nl/saref.ttl;Transportation exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Electronics"];https://ontology.tno.nl/saref.ttl;Electronics exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Resource"];https://ontology.tno.nl/saref.ttl;Resource exists in the ontology;undefined
Open Connectivity Foundation (OCF);["CommunicationProtocol"];https://ontology.tno.nl/saref.ttl;CommunicationProtocol exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Maintenance"];https://ontology.tno.nl/saref.ttl;Maintenance exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Aspect"];https://ontology.tno.nl/saref.ttl;Aspect exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Security"];https://ontology.tno.nl/saref.ttl;Security exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Role"];https://ontology.tno.nl/saref.ttl;Role exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Endpoint"];https://ontology.tno.nl/saref.ttl;Endpoint exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Functionality"];https://ontology.tno.nl/saref.ttl;Functionality exists in the ontology;undefined
Open Connectivity Foundation (OCF);["State"];https://ontology.tno.nl/saref.ttl;State exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Lighting"];https://ontology.tno.nl/saref.ttl;Lighting exists in the ontology;undefined
Open Connectivity Foundation (OCF);["SpaceConditioning"];https://ontology.tno.nl/saref.ttl;SpaceConditioning exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Medica"];https://ontology.tno.nl/saref.ttl;Medica exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Infrastructure"];https://ontology.tno.nl/saref.ttl;Infrastructure exists in the ontology;undefined
Open Connectivity Foundation (OCF);["PersonalHealth"];https://ontology.tno.nl/saref.ttl;PersonalHealth exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Property"];https://ontology.tno.nl/saref.ttl;Property exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Link"];https://ontology.tno.nl/saref.ttl;Link exists in the ontology;undefined
Open Connectivity Foundation (OCF);["Fitness"];https://ontology.tno.nl/saref.ttl;Fitness exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["serialNumber","Property"]';https://ontology.tno.nl/saref.ttl;serialNumber exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["address","Property"]';https://ontology.tno.nl/saref.ttl;address exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["encapsulates","Property"]';https://ontology.tno.nl/saref.ttl;encapsulates exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["isProvidedOverProtocol","Property"]';https://ontology.tno.nl/saref.ttl;isProvidedOverProtocol exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["describesAspect","Property"]';https://ontology.tno.nl/saref.ttl;describesAspect exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["hosts","Property"]';https://ontology.tno.nl/saref.ttl;hosts exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["hasDevelopers","Property"]';https://ontology.tno.nl/saref.ttl;hasDevelopers exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["consistsOf","Property"]';https://ontology.tno.nl/saref.ttl;consistsOf exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["communicatesWith","Property"]';https://ontology.tno.nl/saref.ttl;communicatesWith exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["deviceName","Property"]';https://ontology.tno.nl/saref.ttl;deviceName exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["hasProperty","Property"]';https://ontology.tno.nl/saref.ttl;hasProperty exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["makesAccessible","Property"]';https://ontology.tno.nl/saref.ttl;makesAccessible exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["implementsSecurity","Property"]';https://ontology.tno.nl/saref.ttl;implementsSecurity exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["isAccessibleThrough","Property"]';https://ontology.tno.nl/saref.ttl;isAccessibleThrough exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["exposes","Property"]';https://ontology.tno.nl/saref.ttl;exposes exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["hasFunctionality","Property"]';https://ontology.tno.nl/saref.ttl;hasFunctionality exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["hasUsers","Property"]';https://ontology.tno.nl/saref.ttl;hasUsers exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["hasRole","Property"]';https://ontology.tno.nl/saref.ttl;hasRole exists in the ontology;undefined
Open Connectivity Foundation (OCF);'["hasManufacturer","Property"]';https://ontology.tno.nl/saref.ttl;hasManufacturer exists in the ontology;undefined
ISO/IEC 30141:2017;["Agent"];https://ontology.tno.nl/saref.ttl;Agent exists in the ontology;undefined
ISO/IEC 30141:2017;["Device"];https://ontology.tno.nl/saref.ttl;Device exists in the ontology;undefined
ISO/IEC 30141:2017;["PhysicalThing"];https://ontology.tno.nl/saref.ttl;PhysicalThing exists in the ontology;undefined
ISO/IEC 30141:2017;["Service"];https://ontology.tno.nl/saref.ttl;Service exists in the ontology;undefined
ISO/IEC 30141:2017;["DigitalThing"];https://ontology.tno.nl/saref.ttl;DigitalThing exists in the ontology;undefined
ISO/IEC 30141:2017;["FeatureProperty"];https://ontology.tno.nl/saref.ttl;FeatureProperty exists in the ontology;undefined
ISO/IEC 30141:2017;["IoTSystem"];https://ontology.tno.nl/saref.ttl;IoTSystem exists in the ontology;undefined
ISO/IEC 30141:2017;["VirtualThing"];https://ontology.tno.nl/saref.ttl;VirtualThing exists in the ontology;undefined
ISO/IEC 30141:2017;["HumanUser"];https://ontology.tno.nl/saref.ttl;HumanUser exists in the ontology;undefined
ISO/IEC 30141:2017;["DigitalUser"];https://ontology.tno.nl/saref.ttl;DigitalUser exists in the ontology;undefined
ISO/IEC 30141:2017;["Gateway"];https://ontology.tno.nl/saref.ttl;Gateway exists in the ontology;undefined
ISO/IEC 30141:2017;["Network"];https://ontology.tno.nl/saref.ttl;Network exists in the ontology;undefined
ISO/IEC 30141:2017;["DataStore"];https://ontology.tno.nl/saref.ttl;DataStore exists in the ontology;undefined
ISO/IEC 30141:2017;["VirtualUser"];https://ontology.tno.nl/saref.ttl;VirtualUser exists in the ontology;undefined
ISO/IEC 30141:2017;["Links"];https://ontology.tno.nl/saref.ttl;Links exists in the ontology;undefined
