Provenance;Terms involved;Ontology;Result
Open Connectivity Foundation (OCF);["Entity"];https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Resource","hasUsers","string"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Resource","hasDevelopers","string"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Resource","isAccessibleThrough","Link"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Lighting","Device"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Endpoint","isProvidedOverProtocol","CommunicationProtocol"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Device","isAccessibleThrough","Endpoint"]';https://ontology.tno.nl/saref.ttl;absent
Open Connectivity Foundation (OCF);'["Endpoint","makesAccessible","Device"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Maintenance","Resource"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Device","implementsSecurity","Security"]';https://ontology.tno.nl/saref.ttl;absent
Open Connectivity Foundation (OCF);'["Security","implementsSecurity","Resource"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Device","communicatesWith"]';https://ontology.tno.nl/saref.ttl;absent
Open Connectivity Foundation (OCF);'["Resource","serialNumber","string","Device"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Resource","address","string","Device"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Resource","deviceName","string","Device"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Resource","encapsulates","State"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Resource","hasFunctionality","Functionality"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Device","hosts","Resource"]';https://ontology.tno.nl/saref.ttl;absent
Open Connectivity Foundation (OCF);'["Resource","hasProperty","Property"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Property","describesAspect","Aspect"]';https://ontology.tno.nl/saref.ttl;absent
Open Connectivity Foundation (OCF);'["Resource","hasManufacturer","string"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Electronics","Device"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Infrastructure","Device"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Transportation","Device"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Fitness","Device"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Medica","Device"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["PersonalHealth","Device"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Device","hasRole","Role"]';https://ontology.tno.nl/saref.ttl;absent
Open Connectivity Foundation (OCF);'["SpaceConditioning","Device"]';https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Device","consistsOf","Resource"]';https://ontology.tno.nl/saref.ttl;absent
Open Connectivity Foundation (OCF);["Resource"];https://ontology.tno.nl/saref.ttl;undefined
Open Connectivity Foundation (OCF);'["Device","exposes","Resource"]';https://ontology.tno.nl/saref.ttl;absent
