Term;Key
hasModel;https://w3id.org/saref#hasModel
represents;https://w3id.org/saref#represents
Function;https://w3id.org/saref#Function
kelvin;http://www.wurvoc.org/vocabularies/om-1.8/kelvin
FunctionRelated;https://w3id.org/saref#FunctionRelated
Commodity;https://w3id.org/saref#Commodity
Electricity;https://w3id.org/saref#Electricity
StepUpCommand;https://w3id.org/saref#StepUpCommand
OpenCommand;https://w3id.org/saref#OpenCommand
Lighting;https://w3id.org/saref#Lighting
Toggle;https://w3id.org/saref#Toggle
degree_Celsius;http://www.wurvoc.org/vocabularies/om-1.8/degree_Celsius
PowerUnit;https://w3id.org/saref#PowerUnit
Safety;https://w3id.org/saref#Safety
CloseState;https://w3id.org/saref#CloseState
isMeasuredIn;https://w3id.org/saref#isMeasuredIn
Actuator;https://w3id.org/saref#Actuator
OnOffFunction;https://w3id.org/saref#OnOffFunction
NotifyCommand;https://w3id.org/saref#NotifyCommand
ActuatingFunction;https://w3id.org/saref#ActuatingFunction
OpenCloseState;https://w3id.org/saref#OpenCloseState
isAccomplishedBy;https://w3id.org/saref#isAccomplishedBy
isUsedFor;https://w3id.org/saref#isUsedFor
Service;https://w3id.org/saref#Service
Cleaning;https://w3id.org/saref#Cleaning
watt_hour;https://w3id.org/saref#watt_hour
isAbout;https://w3id.org/saref#isAbout
OnCommand;https://w3id.org/saref#OnCommand
Command;https://w3id.org/saref#Command
GetCurrentMeterValue;https://w3id.org/saref#GetCurrentMeterValue
SetAbsoluteLevelCommand;https://w3id.org/saref#SetAbsoluteLevelCommand
SwitchOnService;https://w3id.org/saref#SwitchOnService
relatesToMeasurement;https://w3id.org/saref#relatesToMeasurement
makesMeasurement;https://w3id.org/saref#makesMeasurement
hasManufacturer;https://w3id.org/saref#hasManufacturer
BuildingRelated;https://w3id.org/saref#BuildingRelated
watt;http://www.wurvoc.org/vocabularies/om-1.8/watt
degree_Fahrenheit;http://www.wurvoc.org/vocabularies/om-1.8/degree_Fahrenheit
Drying;https://w3id.org/saref#Drying
On;https://w3id.org/saref#On
