A device may consists of other devices,100
The power is characterized by a certain value that is measured in a certain unit of measure,100
The price is also characterized by a value using currency, which is a type of unit of measure,100
A sensor performs a sensing function,100
A functionality represents the functionality necessary to accomplish the task for which a device is designed,100
A functionality has commands that allow human users to influence/observe such functionality,100
