Provenance;Terms involved;Ontology;Requirement description;Result
http://www.w3.org/ns/ssn;'["Procedure","hasOutput","Output"]';https://w3id.org/saref;A procedure has an output;undefined
http://www.w3.org/ns/ssn;'["Sampling","hasResult","Result"]';https://w3id.org/saref;A sampling has a result;undefined
http://www.w3.org/ns/ssn;'["Actuation","hasResult","Result"]';https://w3id.org/saref;An actuation has a result;undefined
http://www.w3.org/ns/ssn;'["Sample","FeatureOfInterest","Result"]';https://w3id.org/saref;A sample is a type of feature of interest and result;undefined
http://www.w3.org/ns/ssn;'["Deployment","forProperty","Property"]';https://w3id.org/saref;Deployment is associated to a property;undefined
http://www.w3.org/ns/ssn;["Sensor"];https://w3id.org/saref;What is a sensor?;passed
http://www.w3.org/ns/ssn;["Actuator"];https://w3id.org/saref;What is an actuator?;passed
http://www.w3.org/ns/ssn;["Procedure"];https://w3id.org/saref;What is a procedure?;undefined
http://www.w3.org/ns/ssn;["Deployment"];https://w3id.org/saref;What is a deployment?;undefined
http://www.w3.org/ns/ssn;'["Platform","inDeployment","Deployment"]';https://w3id.org/saref;Platform has a deployment;undefined
http://www.w3.org/ns/ssn;'["Platform","deployedSystem","System"]';https://w3id.org/saref;A platform is deployed by some system;undefined
http://www.w3.org/ns/ssn;["System"];https://w3id.org/saref;What is a system?;undefined
http://www.w3.org/ns/ssn;'["Sampling","hasResult","Sample"]';https://w3id.org/saref;A sampling is linked to at least one sample;undefined
http://www.w3.org/ns/ssn;'["Sensor","observes","ObservableProperty"]';https://w3id.org/saref;A sensor observes only observable properties;absent
http://www.w3.org/ns/ssn;'["ObservableProperty","Property"]';https://w3id.org/saref;An observable property is a type of property;undefined
http://www.w3.org/ns/ssn;'["ObservableProperty","isObservedBy","Sensor"]';https://w3id.org/saref;An observable property is observed by only sensors;undefined
http://www.w3.org/ns/ssn;'["Observation","hasFeatureOfInterest","FeatureOfInterest"]';https://w3id.org/saref;An observation is related only to one feature of interest;undefined
http://www.w3.org/ns/ssn;'["Observation","wasOriginatedBy","Stimulus"]';https://w3id.org/saref;The observation is originated by  exactly one stimulus;undefined
http://www.w3.org/ns/ssn;'["Observation","hasResult","Result"]';https://w3id.org/saref;An observation has only  results;undefined
http://www.w3.org/ns/ssn;'["Sensor","System"]';https://w3id.org/saref;A sensor is a type of system;absent
http://www.w3.org/ns/ssn;["FeatureOfInterest"];https://w3id.org/saref;What is feature of interest?;undefined
http://www.w3.org/ns/ssn;'["System","implements","Procedure"]';https://w3id.org/saref;A system implements a procedure;undefined
http://www.w3.org/ns/ssn;'["System","hasSubSystem"]';https://w3id.org/saref;A system can have subsystems;undefined
http://www.w3.org/ns/ssn;'["Procedure","hasInput","Input"]';https://w3id.org/saref;A procedure has an input;undefined
http://www.w3.org/ns/ssn;["Sensor"];https://w3id.org/saref;What is a sensor?;passed
http://www.w3.org/ns/ssn;'["Sensor","detects","Stimulus"]';https://w3id.org/saref;Sensor detects an stimulus;absent
http://www.w3.org/ns/ssn;["Stimulus"];https://w3id.org/saref;What is a stimulus?;undefined
http://www.w3.org/ns/ssn;'["Observation","wasOriginatedBy","Stimulus"]';https://w3id.org/saref;An observation is originated by a stimulus;undefined
http://www.w3.org/ns/ssn;["Property"];https://w3id.org/saref;What is a property?;passed
http://www.w3.org/ns/ssn;'["Stimulus","isProxyFor","Property","isPropertyOf","FeatureOfInterest"]';https://w3id.org/saref;The stimulus is proxy for a property;undefined
http://www.w3.org/ns/ssn;'["Actuator","madeActuation","Actuation"]';https://w3id.org/saref;An actuator mades only actuations;absent
http://www.w3.org/ns/ssn;'["Procedure","implementedBy","System"]';https://w3id.org/saref;A procedure is implemented by a system;undefined
http://www.w3.org/ns/ssn;'["Deployment","deployedOnPlatform","Platform"]';https://w3id.org/saref;A deplopyment is deployed in a platform;undefined
http://www.w3.org/ns/ssn;'["Sampling","hasFeatureOfInterest","FeatureOfInterest"]';https://w3id.org/saref;A sampling has one feature of interest;undefined
ISO/IEC 30141:2017;'["Service","uses","DataStore","Gateway","Device"]';https://w3id.org/saref;"Data associated with services; devices and gateways can be held in data stores";absent
ISO/IEC 30141:2017;'["PhysicalThing","Thing","VirtualThing"]';https://w3id.org/saref;Everything in an IoT system is a kind of entity;undefined
ISO/IEC 30141:2017;'["Sensor","monitors","Tag","PhysicalThing","hasTag"]';https://w3id.org/saref;Sensors can monitor the tag attached to a physical entity rather than the physical entity itself;absent
ISO/IEC 30141:2017;'["VirtualThing","isAccessibleThrough","Link"]';https://w3id.org/saref;A virtual entity interacts through an endpoint;undefined
ISO/IEC 30141:2017;'["Service","uses","DataStore"]';https://w3id.org/saref;A service can use data stores;absent
ISO/IEC 30141:2017;'["Service","interactsWith"]';https://w3id.org/saref;A service can interact with other services;absent
ISO/IEC 30141:2017;'["Service","interactsWith","Device"]';https://w3id.org/saref;A service interacts with zero or more IoT devices;absent
ISO/IEC 30141:2017;'["Service","interactsWith","Gateway"]';https://w3id.org/saref;A service interacts with zero or more IoT gateways;absent
ISO/IEC 30141:2017;'["Service","interactsWith","Network"]';https://w3id.org/saref;A service interacts with other entities via one or more networks;absent
ISO/IEC 30141:2017;'["Device","isAccessibleThrough","Link"]';https://w3id.org/saref;IoT device exposes one or more endpoints;absent
ISO/IEC 30141:2017;'["Device","interactsWith","Network"]';https://w3id.org/saref;IoT device interacts with one or more networks ;absent
ISO/IEC 30141:2017;'["Gateway","uses","DataStore"]';https://w3id.org/saref;IoT gateways use data stores;undefined
ISO/IEC 30141:2017;'["Gateway","connects","Device"]';https://w3id.org/saref;IoT gateways connect IoT devices;undefined
ISO/IEC 30141:2017;'["Gateway","exposes","Links"]';https://w3id.org/saref;IoT gateways expose endpoints;undefined
ISO/IEC 30141:2017;'["Gateway","interactsThrough","Network"]';https://w3id.org/saref;IoT gateways interact through networks;undefined
ISO/IEC 30141:2017;'["Gateway","DigitalThing"]';https://w3id.org/saref;An IoT gateway is a digital entity ;undefined
ISO/IEC 30141:2017;'["Service","exposes","Link"]';https://w3id.org/saref;A service exposes one or more endpoints by which it can be invoked;absent
ISO/IEC 30141:2017;'["Network","connects","Link"]';https://w3id.org/saref;A network connects endpoints;absent
ISO/IEC 30141:2017;'["Thing","thingName","string"]';https://w3id.org/saref;An entity can have more than one identifier;undefined
ISO/IEC 30141:2017;'["Thing","thingName","string"]';https://w3id.org/saref;An entity  has an identifier;undefined
