Provenance;Terms involved;Ontology;Requirement description;Result
http://iot.linkeddata.es/def/core;'["Service","serviceName","string"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;What is a service logical name?;undefined
http://iot.linkeddata.es/def/core;'["Service","hasOwner","Agent","serviceName","string","avatar","Image","serviceDescription"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;What are the parameters that has a service?;undefined
http://iot.linkeddata.es/def/core;'["Agent","owns","Service"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;Who is a service provider?;undefined
http://iot.linkeddata.es/def/core;'["HumanUser","Person"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;What is a user?;undefined
http://iot.linkeddata.es/def/core;'["Service","hasOwner","Agent","Device"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;Which roles are involved in a ownership relationship?;undefined
http://iot.linkeddata.es/def/core;'["Device","hasOwner","Agent"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;Which are the social relationships a device can be involved in?;undefined
http://iot.linkeddata.es/def/core;'["Device","SpatialThing"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;A device can have a location;undefined
http://iot.linkeddata.es/def/core;'["Device","SpatialThing"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;A device can have a location;undefined
http://iot.linkeddata.es/def/core;'["Device","observes","Property"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;A device can have a status;undefined
http://iot.linkeddata.es/def/core;'["Device","avatar","Image","deviceName","string","deviceDescription","serialNumber"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;What is a device profile?;undefined
http://iot.linkeddata.es/def/core;'["Agent","memberOf","Organization"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;Users has to belong to one organization;undefined
http://iot.linkeddata.es/def/core;'["Agent","hasMembership","Membership"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;One of the users of an organization is the manager;undefined
http://iot.linkeddata.es/def/core;'["HumanUser","Person","Agent","memberOf","Organization","DigitalUser"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;An organization has users;undefined
http://iot.linkeddata.es/def/core;'["Agent","hasNeighbourhood","Neighbourhood"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;A neighbourhood is the group of partnerships you have;undefined
http://iot.linkeddata.es/def/core;'["PhysicalThing","isLocatedAt","Feature"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;Where is something located?;undefined
http://iot.linkeddata.es/def/core;'["Device","serialNumber","string","deviceName","avatar","Image"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;Which attributes can have a device?;undefined
http://iot.linkeddata.es/def/core;'["Device","serialNumber","string"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;A device has a unique identifier;undefined
http://iot.linkeddata.es/def/core;'["Agent","owns","Device"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;Who is the owner of a given device?;undefined
http://iot.linkeddata.es/def/core;'["Agent","memberOf","Organization"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;What is the relation between organization and devices?;undefined
http://iot.linkeddata.es/def/core;'["Organization","hasPartnershipWith"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;How many organizations can have a partnership?;undefined
http://iot.linkeddata.es/def/core;'["Organization","hasPartnershipWith","Organization>"]';http://iot.linkeddata.es/def/adapters/ontology.ttl;Which are the relationships a partnership is involved in?;undefined
