Ontology;Value;Term
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasInputDataPoint;hasInputDataPoint
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;nonNegativeInteger
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;http://www.w3.org/2001/XMLSchema#float;float
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Service;Service
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#InputDataPoint;InputDataPoint
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#netTechnologyProfile;netTechnologyProfile
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction;hasDataRestriction
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#exposesCommand;exposesCommand
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasValue;hasValue
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#describes;describes
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Command;Command
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Function;Function
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#isPartOf;isPartOf
