Ontology;Value;Term
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#interactionName;interactionName
http://iot.linkeddata.es/def/wot/ontology.ttl;http://www.w3.org/2000/01/rdf-schema#Literal;Literal
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#isWritable;isWritable
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#providedBy;providedBy
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#Event;Event
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#Link;Link
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#Thing;Thing
http://iot.linkeddata.es/def/wot/ontology.ttl;http://www.w3.org/2002/07/owl#backwardCompatibleWith;backwardCompatibleWith
http://iot.linkeddata.es/def/wot/ontology.ttl;http://www.w3.org/2003/06/sw-vocab-status/ns#term_status;term_status
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#DataSchema;DataSchema
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#isMeasuredIn;isMeasuredIn
http://iot.linkeddata.es/def/wot/ontology.ttl;http://www.w3.org/2001/XMLSchema#string;string
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#Security;Security
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#hasOutputData;hasOutputData
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#MediaType;MediaType
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#hasValueType;hasValueType
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#baseURI;baseURI
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#DataType;DataType
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#thingName;thingName
http://iot.linkeddata.es/def/wot/ontology.ttl;http://purl.org/dc/elements/1.1/title;title
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#hasInputData;hasInputData
http://iot.linkeddata.es/def/wot/ontology.ttl;http://purl.org/vocab/vann/preferredNamespaceUri;preferredNamespaceUri
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#isQueueable;isQueueable
http://iot.linkeddata.es/def/wot/ontology.ttl;http://www.w3.org/2000/01/rdf-schema#label;label
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#isDescribedBy;isDescribedBy
http://iot.linkeddata.es/def/wot/ontology.ttl;http://www.wurvoc.org/vocabularies/om-1.8/Unit_of_measure;Unit_of_measure
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#interactionDescription;interactionDescription
http://iot.linkeddata.es/def/wot/ontology.ttl;http://www.w3.org/2000/01/rdf-schema#isDefinedBy;isDefinedBy
http://iot.linkeddata.es/def/wot/ontology.ttl;http://purl.org/dc/elements/1.1/publisher;publisher
http://iot.linkeddata.es/def/wot/ontology.ttl;http://www.w3.org/2000/01/rdf-schema#seeAlso;seeAlso
http://iot.linkeddata.es/def/wot/ontology.ttl;http://www.w3.org/2002/07/owl#versionInfo;versionInfo
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#hasPriorityEndpoint;hasPriorityEndpoint
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#isAccessibleThrough;isAccessibleThrough
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#defaultValue;defaultValue
http://iot.linkeddata.es/def/wot/ontology.ttl;http://www.w3.org/2000/01/rdf-schema#comment;comment
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#Property;Property
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#describes;describes
http://iot.linkeddata.es/def/wot/ontology.ttl;http://purl.org/dc/terms/creator;creator
http://iot.linkeddata.es/def/wot/ontology.ttl;http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral;PlainLiteral
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#isReadableThrough;isReadableThrough
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#hasMediaType;hasMediaType
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#href;href
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#providesInteractionPattern;providesInteractionPattern
http://iot.linkeddata.es/def/wot/ontology.ttl;http://purl.org/dc/terms/license;license
http://iot.linkeddata.es/def/wot/ontology.ttl;http://purl.org/vocab/vann/preferredNamespacePrefix;preferredNamespacePrefix
http://iot.linkeddata.es/def/wot/ontology.ttl;http://www.w3.org/2001/XMLSchema#boolean;boolean
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#isRequired;isRequired
http://iot.linkeddata.es/def/wot/ontology.ttl;http://purl.org/dc/terms/modified;modified
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#InteractionPattern;InteractionPattern
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#isProvidedOverProtocol;isProvidedOverProtocol
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#implementsSecurity;implementsSecurity
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#isWritableThrough;isWritableThrough
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#name;name
http://iot.linkeddata.es/def/wot/ontology.ttl;http://www.w3.org/2002/07/owl#deprecated;deprecated
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#CommunicationProtocol;CommunicationProtocol
http://iot.linkeddata.es/def/wot/ontology.ttl;http://iot.linkeddata.es/def/wot#Action;Action
