Ontology;Value;Term
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://purl.org/dc/terms/contributor;contributor
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#Mapping;Mapping
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#hasAccessMapping;hasAccessMapping
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://www.w3.org/2000/01/rdf-schema#isDefinedBy;isDefinedBy
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://purl.org/dc/elements/1.1/publisher;publisher
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://www.w3.org/2002/07/owl#versionInfo;versionInfo
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#AccessMapping;AccessMapping
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://www.w3.org/2000/01/rdf-schema#comment;comment
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://www.w3.org/2002/07/owl#Class;Class
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#valuesTransformedBy;valuesTransformedBy
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#isExecutedAfter;isExecutedAfter
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#predicate;predicate
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://www.w3.org/2003/06/sw-vocab-status/ns#term_status;term_status
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#DatatypePropertyMapping;DatatypePropertyMapping
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#targetDatatype;targetDatatype
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://purl.org/dc/terms/creator;creator
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://www.w3.org/2002/07/owl#DatatypeProperty;DatatypeProperty
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://www.w3.org/2001/XMLSchema#string;string
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot#Endpoint;Endpoint
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#mapsResourcesFrom;mapsResourcesFrom
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral;PlainLiteral
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#targetClass;targetClass
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://purl.org/dc/terms/license;license
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://purl.org/vocab/vann/preferredNamespacePrefix;preferredNamespacePrefix
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#ObjectPropertyMapping;ObjectPropertyMapping
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/core#ThingDescription;ThingDescription
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#hasMapping;hasMapping
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;Property
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#exposes;exposes
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://purl.org/dc/elements/1.1/title;title
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://www.w3.org/2000/01/rdf-schema#Datatype;Datatype
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#key;key
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://iot.linkeddata.es/def/wot-mappings#jsonPath;jsonPath
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://purl.org/vocab/vann/preferredNamespaceUri;preferredNamespaceUri
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://www.w3.org/2000/01/rdf-schema#label;label
http://iot.linkeddata.es/def/wot-mappings/ontology.ttl;http://www.w3.org/2002/07/owl#ObjectProperty;ObjectProperty
