Term;Key
Water;https://saref.etsi.org/core/Water
OpenCloseFunction;https://saref.etsi.org/core/OpenCloseFunction
Entertainment;https://saref.etsi.org/core/Entertainment
Meter;https://saref.etsi.org/core/Meter
GetMeterDataCommand;https://saref.etsi.org/core/GetMeterDataCommand
MultiLevelState;https://saref.etsi.org/core/MultiLevelState
measurementMadeBy;https://saref.etsi.org/core/measurementMadeBy
StartState;https://saref.etsi.org/core/StartState
hasTime;https://saref.etsi.org/core/hasTime
SensingFunction;https://saref.etsi.org/core/SensingFunction
hasTimestamp;https://saref.etsi.org/core/hasTimestamp
EnergyEfficiency;https://saref.etsi.org/core/EnergyEfficiency
DoorSwitch;https://saref.etsi.org/core/DoorSwitch
CloseCommand;https://saref.etsi.org/core/CloseCommand
Currency;https://saref.etsi.org/core/Currency
Occupancy;https://saref.etsi.org/core/Occupancy
MeteringFunction;https://saref.etsi.org/core/MeteringFunction
GetMeterHistoryCommand;https://saref.etsi.org/core/GetMeterHistoryCommand
hasProfile;https://saref.etsi.org/core/hasProfile
ToggleCommand;https://saref.etsi.org/core/ToggleCommand
relatesToProperty;https://saref.etsi.org/core/relatesToProperty
StartStopState;https://saref.etsi.org/core/StartStopState
WellBeing;https://saref.etsi.org/core/WellBeing
hasSensingRange;https://saref.etsi.org/core/hasSensingRange
hasDescription;https://saref.etsi.org/core/hasDescription
hasValue;https://saref.etsi.org/core/hasValue
hasMeasurement;https://saref.etsi.org/core/hasMeasurement
measuresProperty;https://saref.etsi.org/core/measuresProperty
Switch;https://saref.etsi.org/core/Switch
FeatureOfInterest;https://saref.etsi.org/core/FeatureOfInterest
hasFunction;https://saref.etsi.org/core/hasFunction
MeterReading;https://saref.etsi.org/core/MeterReading
SetLevelCommand;https://saref.etsi.org/core/SetLevelCommand
PressureUnit;https://saref.etsi.org/core/PressureUnit
isControlledByDevice;https://saref.etsi.org/core/isControlledByDevice
isMeasurementOf;https://saref.etsi.org/core/isMeasurementOf
Profile;https://saref.etsi.org/core/Profile
hasSensorType;https://saref.etsi.org/core/hasSensorType
Appliance;https://saref.etsi.org/core/Appliance
Energy;https://saref.etsi.org/core/Energy
Humidity;https://saref.etsi.org/core/Humidity
EventFunction;https://saref.etsi.org/core/EventFunction
isMeasuredByDevice;https://saref.etsi.org/core/isMeasuredByDevice
OnState;https://saref.etsi.org/core/OnState
Property;https://saref.etsi.org/core/Property
IlluminanceUnit;https://saref.etsi.org/core/IlluminanceUnit
hasPrice;https://saref.etsi.org/core/hasPrice
Motion;https://saref.etsi.org/core/Motion
EnergyUnit;https://saref.etsi.org/core/EnergyUnit
isPropertyOf;https://saref.etsi.org/core/isPropertyOf
TemperatureSensor;https://saref.etsi.org/core/TemperatureSensor
LightSwitch;https://saref.etsi.org/core/LightSwitch
GetCommand;https://saref.etsi.org/core/GetCommand
controlsProperty;https://saref.etsi.org/core/controlsProperty
Comfort;https://saref.etsi.org/core/Comfort
OffCommand;https://saref.etsi.org/core/OffCommand
LevelControlFunction;https://saref.etsi.org/core/LevelControlFunction
StopState;https://saref.etsi.org/core/StopState
Power;https://saref.etsi.org/core/Power
Task;https://saref.etsi.org/core/Task
isOfferedBy;https://saref.etsi.org/core/isOfferedBy
SmokeSensor;https://saref.etsi.org/core/SmokeSensor
accomplishes;https://saref.etsi.org/core/accomplishes
Washing;https://saref.etsi.org/core/Washing
Smoke;https://saref.etsi.org/core/Smoke
OffState;https://saref.etsi.org/core/OffState
isCommandOf;https://saref.etsi.org/core/isCommandOf
HVAC;https://saref.etsi.org/core/HVAC
Light;https://saref.etsi.org/core/Light
Coal;https://saref.etsi.org/core/Coal
hasCommand;https://saref.etsi.org/core/hasCommand
GetCurrentMeterValueCommand;https://saref.etsi.org/core/GetCurrentMeterValueCommand
offers;https://saref.etsi.org/core/offers
hasMeterReading;https://saref.etsi.org/core/hasMeterReading
GetSensingDataCommand;https://saref.etsi.org/core/GetSensingDataCommand
OnOffState;https://saref.etsi.org/core/OnOffState
UnitOfMeasure;https://saref.etsi.org/core/UnitOfMeasure
SetRelativeLevelCommand;https://saref.etsi.org/core/SetRelativeLevelCommand
Device;https://saref.etsi.org/core/Device
TemperatureUnit;https://saref.etsi.org/core/TemperatureUnit
consistsOf;https://saref.etsi.org/core/consistsOf
hasState;https://saref.etsi.org/core/hasState
Pressure;https://saref.etsi.org/core/Pressure
hasProperty;https://saref.etsi.org/core/hasProperty
StepDownCommand;https://saref.etsi.org/core/StepDownCommand
StopCommand;https://saref.etsi.org/core/StopCommand
actsUpon;https://saref.etsi.org/core/actsUpon
OpenState;https://saref.etsi.org/core/OpenState
Price;https://saref.etsi.org/core/Price
State;https://saref.etsi.org/core/State
Gas;https://saref.etsi.org/core/Gas
PauseCommand;https://saref.etsi.org/core/PauseCommand
hasThresholdMeasurement;https://saref.etsi.org/core/hasThresholdMeasurement
Sensor;https://saref.etsi.org/core/Sensor
Measurement;https://saref.etsi.org/core/Measurement
StartStopFunction;https://saref.etsi.org/core/StartStopFunction
Temperature;https://saref.etsi.org/core/Temperature
StartCommand;https://saref.etsi.org/core/StartCommand
hasMeterReadingType;https://saref.etsi.org/core/hasMeterReadingType
Time;https://saref.etsi.org/core/Time
hasTypicalConsumption;https://saref.etsi.org/core/hasTypicalConsumption
hasModel;https://saref.etsi.org/core/hasModel
represents;https://saref.etsi.org/core/represents
Function;https://saref.etsi.org/core/Function
Commodity;https://saref.etsi.org/core/Commodity
Electricity;https://saref.etsi.org/core/Electricity
OpenCommand;https://saref.etsi.org/core/OpenCommand
StepUpCommand;https://saref.etsi.org/core/StepUpCommand
Lighting;https://saref.etsi.org/core/Lighting
PowerUnit;https://saref.etsi.org/core/PowerUnit
Safety;https://saref.etsi.org/core/Safety
CloseState;https://saref.etsi.org/core/CloseState
isMeasuredIn;https://saref.etsi.org/core/isMeasuredIn
Actuator;https://saref.etsi.org/core/Actuator
OnOffFunction;https://saref.etsi.org/core/OnOffFunction
NotifyCommand;https://saref.etsi.org/core/NotifyCommand
ActuatingFunction;https://saref.etsi.org/core/ActuatingFunction
OpenCloseState;https://saref.etsi.org/core/OpenCloseState
isAccomplishedBy;https://saref.etsi.org/core/isAccomplishedBy
isUsedFor;https://saref.etsi.org/core/isUsedFor
Service;https://saref.etsi.org/core/Service
Cleaning;https://saref.etsi.org/core/Cleaning
isAbout;https://saref.etsi.org/core/isAbout
OnCommand;https://saref.etsi.org/core/OnCommand
Command;https://saref.etsi.org/core/Command
SetAbsoluteLevelCommand;https://saref.etsi.org/core/SetAbsoluteLevelCommand
SwitchOnService;https://saref.etsi.org/core/SwitchOnService
relatesToMeasurement;https://saref.etsi.org/core/relatesToMeasurement
makesMeasurement;https://saref.etsi.org/core/makesMeasurement
hasManufacturer;https://saref.etsi.org/core/hasManufacturer
Drying;https://saref.etsi.org/core/Drying
