Ontology;Value;Term
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Device;Device
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;http://www.w3.org/2001/XMLSchema#boolean;boolean
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasCommand;hasCommand
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction_minExclusive;hasDataRestriction_minExclusive
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;http://www.w3.org/2001/XMLSchema#integer;integer
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction_minInclusive;hasDataRestriction_minInclusive
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#oneM2MAttribute;oneM2MAttribute
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Operation;Operation
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#OutputDataPoint;OutputDataPoint
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasService;offers
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#StructuredTypeVariable;StructuredTypeVariable
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasOutputDataPoint;hasOutputDataPoint
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasThingProperty;hasThingProperty
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasSubStructure;hasSubStructure
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#exposesFunction;exposesFunction
