Provenance;Terms involved;Ontology;Requirement description;Result
http://iot.linkeddata.es/def/core;"'[""Service"",""serviceName"",""string""]'";https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;What is a service logical name?;undefined
http://iot.linkeddata.es/def/core;"'[""Service"",""hasOwner"",""Agent"",""serviceName"",""string"",""avatar"",""Image"",""serviceDescription""]'";https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;What are the parameters that has a service?;undefined
http://iot.linkeddata.es/def/core;"'[""Agent"",""owns"",""Service""]'";https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Who is a service provider?;undefined
http://iot.linkeddata.es/def/core;"'[""HumanUser"",""Person""]'";https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;What is a user?;undefined
http://iot.linkeddata.es/def/core;"'[""Service"",""hasOwner"",""Agent"",""Device""]'";https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Which roles are involved in a ownership relationship?;undefined
http://iot.linkeddata.es/def/core;"'[""Device"",""hasOwner"",""Agent""]'";https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Which are the social relationships a device can be involved in?;undefined
http://iot.linkeddata.es/def/core;"'[""Device"",""SpatialThing""]'";https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A device can have a location;undefined
http://iot.linkeddata.es/def/core;"'[""Device"",""SpatialThing""]'";https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A device can have a location;undefined
http://iot.linkeddata.es/def/core;"'[""Device"",""observes"",""Property""]'";https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A device can have a status;undefined
http://iot.linkeddata.es/def/core;"'[""Device"",""avatar"",""Image"",""deviceName"",""string"",""deviceDescription"",""serialNumber""]'";https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;What is a device profile?;undefined
http://iot.linkeddata.es/def/core;"'[""Agent"",""memberOf"",""Organization""]'";https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Users has to belong to one organization;undefined
