Ontology;Value;Term
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#GPSAltitude;GPSAltitude
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#Start;Start
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#BatteryNominalCapacity;BatteryNominalCapacity
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#HeaterPreheatAllowed;HeaterPreheatAllowed
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#ActivePowerInjectedToGrid;ActivePowerInjectedToGrid
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#SystolicBloodPressure;SystolicBloodPressure
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#RefrigeratorTemperature;RefrigeratorTemperature
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/core#Device;Device
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#MinCO2Concentration;MinCO2Concentration
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#NumberOfConnectors;NumberOfConnectors
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#ReactivePowerAbsorbedFromGrid;ReactivePowerAbsorbedFromGrid
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#CO2Sensor;CO2Sensor
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#Thermostat;Thermostat
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#PressureMat;PressureMat
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#DistanceWalked;DistanceWalked
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#HighestHumidityDeviation;HighestHumidityDeviation
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://www.w3.org/ns/ssn/systems/OperatingPowerRange;OperatingPowerRange
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#HeaterSystem;HeaterSystem
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#AverageLightIntensity;AverageLightIntensity
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://purl.org/dc/elements/1.1/title;title
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#NominalProductionCapacity;NominalProductionCapacity
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#AmbientHumidityProperty;AmbientHumidityProperty
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#PVAccumulatedDCEnergy;PVAccumulatedDCEnergy
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#HealthProperty;HealthProperty
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://www.w3.org/ns/ssn/systems/SystemLifetime;SystemLifetime
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#CurrentBakingStepRemainingTime;CurrentBakingStepRemainingTime
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#MinTemperature;MinTemperature
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#InverterPVActualReactivePower;InverterPVActualReactivePower
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#FreezerLightStatus;FreezerLightStatus
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#MeatProbeTemperature;MeatProbeTemperature
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#ServiceLevel;ServiceLevel
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://purl.org/dc/terms/contributor;contributor
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#AccumulatedEnergyInjectedToGrid;AccumulatedEnergyInjectedToGrid
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#AmbientTemperature;AmbientTemperature
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://www.w3.org/2000/01/rdf-schema#comment;comment
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://purl.org/dc/terms/title;termstitle
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#WeatherForecast;WeatherForecast
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://www.w3.org/2004/02/skos/core#definition;definition
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://www.w3.org/ns/ssn/systems/Precision;Precision
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#SuperCool;SuperCool
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#BatteryOperationalStatus;BatteryOperationalStatus
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#FreezerEmergency;FreezerEmergency
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#LightColor;LightColor
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#UVIndex;UVIndex
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://www.w3.org/ns/ssn/systems/Condition;Condition
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#ElectricVehicle;ElectricVehicle
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#InverterConsumerActivePowerLoad;InverterConsumerActivePowerLoad
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#PVActualDCVoltage;PVActualDCVoltage
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#ActualReactivePowerGeneration;ActualReactivePowerGeneration
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://www.w3.org/ns/sosa/Sensor;Sensor
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#ReactivePowerInjectedToGrid;ReactivePowerInjectedToGrid
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#Mode;Mode
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://purl.org/dc/elements/1.1/source;source
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#NoiseSensor;NoiseSensor
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#ActualReactivePowerInjectedToGrid;ActualReactivePowerInjectedToGrid
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://www.w3.org/ns/ssn/systems/Accuracy;Accuracy
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://www.w3.org/ns/ssn/systems/MaintenanceSchedule;MaintenanceSchedule
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#MeanPowerConsumption;MeanPowerConsumption
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#AmbientTemperatureProperty;AmbientTemperatureProperty
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#WaterFlowMeter;WaterFlowMeter
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#EBikeCharger;EBikeCharger
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#ActivePowerAbsorbedFromGrid;ActivePowerAbsorbedFromGrid
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://www.w3.org/ns/sosa/ObservableProperty;ObservableProperty
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/core#Actuator;Actuator
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#DeviceTemperature;DeviceTemperature
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#PVActualDCCurrent;PVActualDCCurrent
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#Stop;Stop
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#ElapsedBakingTime;ElapsedBakingTime
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#ActualChargingSessionDuration;ActualChargingSessionDuration
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#MotionSensor;MotionSensor
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#BloodPressureMonitor;BloodPressureMonitor
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#LowerStateOfChargeBoundary;LowerStateOfChargeBoundary
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://www.w3.org/ns/ssn/systems/SystemProperty;SystemProperty
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#DimmingLevel;DimmingLevel
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://iot.linkeddata.es/def/adapters#InverterActualFrequency;InverterActualFrequency
http://iot.linkeddata.es/def/adapters/ontology.ttl;http://www.w3.org/ns/sosa/ActuatableProperty;ActuatableProperty
