relation-existential,76
relation-universal,47
cardinality-relation,0
union,0
type,6
cardinality,17
subclass-disjoint,0
participant,0
partWhole,0
symmetry,0
domain,0
intersection,0
subclass,40
subclass-relation,0
definition,13
cardinality-intersection,0
